people_ID,Infect_Prob
5942,52.966115420631866
18664,52.88382037729639
5603,51.407665161292066
5649,52.825264177242396
5099,52.85018983642845
18749,51.386442637404535
5228,52.83624859178484
5559,52.80931682072749
5220,52.74979855438291
5476,52.91836454562924
5260,52.84039166514661
17638,52.86935257891965
18635,52.75402445169206
18794,62.76763813899345
5263,51.39250764222331
17680,67.30164650430116
18030,52.74994645787446
18090,52.88378638811884
18455,52.07440702285171
18155,52.7828244979273
18116,61.92408946679918
18144,52.84938152194838
5218,61.94181834656797
5386,52.79313194149858
18105,52.74103131666037
5735,52.3753910076793
5900,52.84039166514661
18391,52.00550411767872
5786,52.84279473846355
18639,52.83628817033028
17984,52.82470074301529
18274,51.42856773447729
5425,52.906114302185685
6076,51.822272779099514
18545,52.341736510027474
17697,64.89789866726304
6137,52.831835625077765
6083,52.776611459782764
17730,52.78927561300801
5896,62.14122529619967
18906,52.7733048049503
17808,52.830578036240794
6078,52.77306852301969
5516,51.854530343557336
18093,52.84270574555498
6120,52.84270574555498
18154,52.92854238152334
17935,52.8330445181202
18769,65.4424921809461
18264,52.40557163740039
18076,51.13012346844453
18035,52.59481198889968
18051,52.18185796420514
18676,52.755966215293
5332,52.810117321450804
5898,63.722511685009074
18370,52.8548377326289
17706,51.998092597182755
5198,52.83873370626578
18360,52.78171571521845
18240,52.78474939347841
18691,52.86227903161611
5768,52.8722272177993
18315,52.70409269201986
18776,52.790655720390774
6225,52.80118541444437
17983,61.72778664897583
17973,52.57144713068033
5805,60.03557541012308
5500,52.95245660038028
5305,52.752156865970406
18243,52.83321807965189
5169,52.809036002622754
5258,52.87331395461357
17810,66.77353134178495
5714,52.82327509089936
6070,51.598955701102646
5959,62.68172616837819
18771,52.871542945591656
17765,52.79745625027217
18822,52.882982045473995
17735,64.33579675554166
17966,51.97240002378353
18861,52.858384017139606
18236,51.25069957912541
18750,68.92159678346268
17809,58.863250728946625
6049,52.84751991647431
18465,52.76317234640322
6201,52.93291515999904
18877,52.746603779778084
5087,52.757810738057465
17742,51.083039697943704
17941,63.72879484276777
